Owner,Wait (sec),Step type,Attribute,Action,Comment
Airpuff agitation,0.00,Subroutine,Left RIght Puff,Iterations = 4,
Left RIght Puff,0.00,Digital Output,Left airpuff,ON,
Left RIght Puff,0.10,Wait,0.10 sec,Delay,
Left RIght Puff,0.00,Digital Output,Left airpuff,OFF,
Left RIght Puff,0.20,Wait,0.20 sec,Delay,
Left RIght Puff,0.00,Digital Output,Right airpuff,ON,
Left RIght Puff,0.10,Wait,0.10 sec,Delay,
Left RIght Puff,0.00,Digital Output,Right airpuff,OFF,
Left RIght Puff,0.20,Wait,0.20 sec,Delay,
Airpuff agitation,0.00,Digital Output,Left odour shutoff,OFF,
Airpuff agitation,0.00,Digital Output,Right odour shutoff,OFF,
Main,0.00,Experiment State,Set state,Arousal Test: MCH(R) + OCT(L),
Main,0.00,Digital Output,Left OCT,ON,
Main,0.00,Digital Output,Right MCH,ON,
Main,120.00,Wait,120.00 sec,Delay,Arousal test duration
Main,0.00,Digital Output,Right MCH,OFF,
Main,0.00,Digital Output,Left OCT,OFF,End Arousal test
Main,0.00,Experiment State,Set state,Complete,
Main,2.00,Plugin,Mutli-Fly Tracker,LOG Off,End test count
Main,0.00,Plugin,Mutli-Fly Tracker,LOG Close,
